2023-02-02 21:02:175 INFO  EligibilityChecker :129 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='dob-day']]
2023-02-02 21:02:339 INFO  EligibilityChecker :133 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='dob-month']]
2023-02-02 21:02:573 INFO  EligibilityChecker :137 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='dob-year']]
2023-02-02 21:02:714 INFO  EligibilityChecker :141 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:416 INFO  EligibilityChecker :145 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='radio-yes']]
2023-02-02 21:02:518 INFO  EligibilityChecker :149 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:107 INFO  EligibilityChecker :153 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:227 INFO  EligibilityChecker :157 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:76 INFO  EligibilityChecker :161 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:200 INFO  EligibilityChecker :165 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:854 INFO  EligibilityChecker :169 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:975 INFO  EligibilityChecker :173 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:530 INFO  EligibilityChecker :177 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:651 INFO  EligibilityChecker :181 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:315 INFO  EligibilityChecker :185 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:459 INFO  EligibilityChecker :189 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (da567794ffac77fac6ecf9c3888c6db2)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:378 INFO  EligibilityChecker :193 - Verify register Text:  displayed on register page Proxy element for: DefaultElementLocator 'By.xpath: //h1[@id='result-heading']'
2023-02-02 21:02:954 INFO  EligibilityChecker :96 - Clicking on 'I'm OK with analytics cookies'
2023-02-02 21:02:137 INFO  EligibilityChecker :101 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:854 INFO  EligibilityChecker :105 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-wales']]
2023-02-02 21:02:61 INFO  EligibilityChecker :109 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:702 INFO  EligibilityChecker :113 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-yes']]
2023-02-02 21:02:805 INFO  EligibilityChecker :117 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:501 INFO  EligibilityChecker :121 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-wales']]
2023-02-02 21:02:666 INFO  EligibilityChecker :125 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:306 INFO  EligibilityChecker :129 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='dob-day']]
2023-02-02 21:02:470 INFO  EligibilityChecker :133 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='dob-month']]
2023-02-02 21:02:660 INFO  EligibilityChecker :137 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='dob-year']]
2023-02-02 21:02:795 INFO  EligibilityChecker :141 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:420 INFO  EligibilityChecker :145 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-yes']]
2023-02-02 21:02:531 INFO  EligibilityChecker :149 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:145 INFO  EligibilityChecker :153 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:247 INFO  EligibilityChecker :157 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:939 INFO  EligibilityChecker :161 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:60 INFO  EligibilityChecker :165 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:775 INFO  EligibilityChecker :169 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:887 INFO  EligibilityChecker :173 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:589 INFO  EligibilityChecker :177 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:763 INFO  EligibilityChecker :181 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:451 INFO  EligibilityChecker :185 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:582 INFO  EligibilityChecker :189 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (3009c98dd186ae06d9433ab741079bd7)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:518 INFO  EligibilityChecker :193 - Verify register Text:  displayed on register page Proxy element for: DefaultElementLocator 'By.xpath: //h1[@id='result-heading']'
2023-02-02 21:02:624 INFO  EligibilityChecker :96 - Clicking on 'I'm OK with analytics cookies'
2023-02-02 21:02:831 INFO  EligibilityChecker :101 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:771 INFO  EligibilityChecker :105 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-wales']]
2023-02-02 21:02:952 INFO  EligibilityChecker :109 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:665 INFO  EligibilityChecker :113 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-yes']]
2023-02-02 21:02:801 INFO  EligibilityChecker :117 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:490 INFO  EligibilityChecker :121 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-wales']]
2023-02-02 21:02:658 INFO  EligibilityChecker :125 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:330 INFO  EligibilityChecker :129 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='dob-day']]
2023-02-02 21:02:510 INFO  EligibilityChecker :133 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='dob-month']]
2023-02-02 21:02:691 INFO  EligibilityChecker :137 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='dob-year']]
2023-02-02 21:02:839 INFO  EligibilityChecker :141 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:564 INFO  EligibilityChecker :145 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-yes']]
2023-02-02 21:02:698 INFO  EligibilityChecker :149 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:336 INFO  EligibilityChecker :153 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:462 INFO  EligibilityChecker :157 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:860 INFO  EligibilityChecker :161 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:06 INFO  EligibilityChecker :165 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:709 INFO  EligibilityChecker :169 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:872 INFO  EligibilityChecker :173 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:576 INFO  EligibilityChecker :177 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:703 INFO  EligibilityChecker :181 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:347 INFO  EligibilityChecker :185 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='radio-no']]
2023-02-02 21:02:545 INFO  EligibilityChecker :189 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (0f4380f13c137392c6bbe336091c9825)] -> xpath: //input[@id='next-button']]
2023-02-02 21:02:163 INFO  EligibilityChecker :193 - Verify register Text:  displayed on register page Proxy element for: DefaultElementLocator 'By.xpath: //h1[@id='result-heading']'
2023-02-02 22:02:383 INFO  EligibilityChecker :97 - Clicking on 'I'm OK with analytics cookies'
2023-02-02 22:02:657 INFO  EligibilityChecker :102 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:593 INFO  EligibilityChecker :106 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='radio-wales']]
2023-02-02 22:02:758 INFO  EligibilityChecker :110 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:466 INFO  EligibilityChecker :114 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='radio-yes']]
2023-02-02 22:02:611 INFO  EligibilityChecker :118 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:349 INFO  EligibilityChecker :122 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='radio-wales']]
